Date,Hotel,Total Rooms,Rooms Solds,Rooms Revenue,CompSet Total Rooms,CompSet Rooms Sold,CompSet Rooms Revenue
2024-11-06,Imaginary Hotel 1,442,168,63205,252,116,232161
2024-11-05,Imaginary Hotel 1,442,332,52339,252,240,114092
2024-11-04,Imaginary Hotel 1,442,266,61378,252,97,128510
2024-11-03,Imaginary Hotel 1,442,267,40026,252,129,165854
2024-11-02,Imaginary Hotel 1,442,78,25878,252,132,175346
2024-11-01,Imaginary Hotel 1,442,378,46090,252,143,186780
2024-10-31,Imaginary Hotel 1,442,121,29732,252,16,89854
2024-10-30,Imaginary Hotel 1,442,165,94313,252,106,41458
2024-10-29,Imaginary Hotel 1,442,316,88789,252,125,224766
2024-10-28,Imaginary Hotel 1,442,16,92849,252,238,134061
2024-10-27,Imaginary Hotel 1,442,351,21870,252,60,99210
2024-10-26,Imaginary Hotel 1,442,100,11557,252,192,182126
2024-10-25,Imaginary Hotel 1,442,329,12024,252,40,101993
2024-10-24,Imaginary Hotel 1,442,301,81625,252,139,245484
2024-10-23,Imaginary Hotel 1,442,294,27159,252,14,218173
2024-10-22,Imaginary Hotel 1,442,424,79167,252,163,17409
2024-10-21,Imaginary Hotel 1,442,321,75213,252,228,5914
2024-10-20,Imaginary Hotel 1,442,245,77119,252,40,203621
2024-10-19,Imaginary Hotel 1,442,12,24825,252,60,163390
2024-10-18,Imaginary Hotel 1,442,413,12927,252,107,64075
2024-10-17,Imaginary Hotel 1,442,59,80348,252,172,36404
2024-10-16,Imaginary Hotel 1,442,151,43702,252,179,15592
2024-10-15,Imaginary Hotel 1,442,222,51215,252,102,151378
2024-10-14,Imaginary Hotel 1,442,435,65432,252,189,168254
2024-10-13,Imaginary Hotel 1,442,439,52837,252,101,198139
2024-10-12,Imaginary Hotel 1,442,126,45351,252,222,64049
2024-10-11,Imaginary Hotel 1,442,367,38537,252,211,235024
2024-10-10,Imaginary Hotel 1,442,148,14444,252,207,104549
2024-10-09,Imaginary Hotel 1,442,45,31109,252,64,133226
2024-10-08,Imaginary Hotel 1,442,23,90534,252,39,81494
2024-10-07,Imaginary Hotel 1,442,305,51487,252,115,140682
2024-10-06,Imaginary Hotel 1,442,281,14179,252,78,115692
2024-10-05,Imaginary Hotel 1,442,392,89782,252,114,9744
2024-10-04,Imaginary Hotel 1,442,54,14315,252,104,35977
2024-10-03,Imaginary Hotel 1,442,418,78964,252,196,228573
2024-10-02,Imaginary Hotel 1,442,146,37284,252,151,87032
2024-10-01,Imaginary Hotel 1,442,83,63029,252,234,66336
2024-09-30,Imaginary Hotel 1,442,343,75955,252,12,119937
2024-09-29,Imaginary Hotel 1,442,244,94210,252,100,25837
2024-09-28,Imaginary Hotel 1,442,72,36155,252,171,59273
2024-09-27,Imaginary Hotel 1,442,184,80234,252,11,20980
2024-09-26,Imaginary Hotel 1,442,304,86575,252,96,189215
2024-09-25,Imaginary Hotel 1,442,205,39981,252,17,75668
2024-09-24,Imaginary Hotel 1,442,402,77706,252,204,249349
2024-09-23,Imaginary Hotel 1,442,98,93093,252,168,192445
2024-09-22,Imaginary Hotel 1,442,179,42924,252,247,224404
2024-09-21,Imaginary Hotel 1,442,93,11506,252,182,7503
2024-09-20,Imaginary Hotel 1,442,40,70827,252,22,20321
2024-09-19,Imaginary Hotel 1,442,302,61395,252,6,223151
2024-09-18,Imaginary Hotel 1,442,99,91171,252,103,120640
2024-09-17,Imaginary Hotel 1,442,218,99466,252,249,124348
2024-09-16,Imaginary Hotel 1,442,106,49368,252,110,211038
2024-09-15,Imaginary Hotel 1,442,49,66262,252,140,54692
2024-09-14,Imaginary Hotel 1,442,350,83632,252,21,57941
2024-09-13,Imaginary Hotel 1,442,157,96310,252,47,210575
2024-09-12,Imaginary Hotel 1,442,237,12327,252,100,194240
2024-09-11,Imaginary Hotel 1,442,441,54006,252,5,57784
2024-09-10,Imaginary Hotel 1,442,380,48845,252,172,7659
2024-09-09,Imaginary Hotel 1,442,384,67692,252,98,21928
2024-09-08,Imaginary Hotel 1,442,355,69344,252,131,53652
2024-09-07,Imaginary Hotel 1,442,423,41978,252,42,132941
2024-09-06,Imaginary Hotel 1,442,267,75338,252,201,249613
2024-09-05,Imaginary Hotel 1,442,369,68905,252,234,230394
2024-09-04,Imaginary Hotel 1,442,216,5151,252,112,137438
2024-09-03,Imaginary Hotel 1,442,229,53920,252,37,199400
2024-09-02,Imaginary Hotel 1,442,340,38005,252,227,146847
2024-09-01,Imaginary Hotel 1,442,380,81325,252,177,84563
2024-08-31,Imaginary Hotel 1,442,284,81269,252,81,76983
2024-08-30,Imaginary Hotel 1,442,106,89879,252,112,211877
2024-08-29,Imaginary Hotel 1,442,136,66641,252,153,22519
2024-08-28,Imaginary Hotel 1,442,305,28926,252,237,66896
2024-08-27,Imaginary Hotel 1,442,186,34990,252,28,20073
2024-08-26,Imaginary Hotel 1,442,59,55786,252,123,41643
2024-08-25,Imaginary Hotel 1,442,321,62190,252,6,7248
2024-08-24,Imaginary Hotel 1,442,400,47108,252,165,33657
2024-08-23,Imaginary Hotel 1,442,321,94123,252,175,196543
2024-08-22,Imaginary Hotel 1,442,3,40898,252,102,104308
2024-08-21,Imaginary Hotel 1,442,107,18841,252,94,135599
2024-08-20,Imaginary Hotel 1,442,217,49585,252,121,205118
2024-08-19,Imaginary Hotel 1,442,312,19840,252,134,104437
2024-08-18,Imaginary Hotel 1,442,209,16926,252,226,90059
2024-08-17,Imaginary Hotel 1,442,195,18997,252,117,77279
2024-08-16,Imaginary Hotel 1,442,415,38713,252,116,155180
2024-08-15,Imaginary Hotel 1,442,333,62179,252,189,149276
2024-08-14,Imaginary Hotel 1,442,102,35746,252,10,22498
2024-08-13,Imaginary Hotel 1,442,35,28277,252,63,26501
2024-08-12,Imaginary Hotel 1,442,395,76491,252,135,59555
2024-08-11,Imaginary Hotel 1,442,216,94338,252,23,34494
2024-08-10,Imaginary Hotel 1,442,408,27990,252,113,107663
2024-08-09,Imaginary Hotel 1,442,45,5574,252,197,240878
2024-08-08,Imaginary Hotel 1,442,421,70837,252,35,181875
2024-08-07,Imaginary Hotel 1,442,28,77512,252,156,141633
2024-08-06,Imaginary Hotel 1,442,178,42660,252,50,191491
2024-08-05,Imaginary Hotel 1,442,130,88954,252,120,243704
2024-08-04,Imaginary Hotel 1,442,184,26232,252,224,97786
2024-08-03,Imaginary Hotel 1,442,233,49906,252,114,154869
2024-08-02,Imaginary Hotel 1,442,217,80208,252,45,20394
2024-08-01,Imaginary Hotel 1,442,388,30313,252,220,97675
2024-07-31,Imaginary Hotel 1,442,99,82584,252,76,143802
2024-07-30,Imaginary Hotel 1,442,321,99441,252,78,185893
2024-07-29,Imaginary Hotel 1,442,383,96130,252,125,105262
2024-07-28,Imaginary Hotel 1,442,144,21017,252,69,119163
2024-07-27,Imaginary Hotel 1,442,238,26766,252,160,121527
2024-07-26,Imaginary Hotel 1,442,355,46219,252,215,54206
2024-07-25,Imaginary Hotel 1,442,150,6255,252,127,211077
2024-07-24,Imaginary Hotel 1,442,259,49757,252,79,40911
2024-07-23,Imaginary Hotel 1,442,255,67251,252,42,228029
2024-07-22,Imaginary Hotel 1,442,259,29651,252,211,61255
2024-07-21,Imaginary Hotel 1,442,134,63681,252,69,163861
2024-07-20,Imaginary Hotel 1,442,207,12196,252,14,189859
2024-07-19,Imaginary Hotel 1,442,226,82955,252,107,37932
2024-07-18,Imaginary Hotel 1,442,327,67790,252,82,220826
2024-07-17,Imaginary Hotel 1,442,174,79249,252,18,173027
2024-07-16,Imaginary Hotel 1,442,178,22603,252,78,167072
2024-07-15,Imaginary Hotel 1,442,371,7247,252,106,214852
2024-07-14,Imaginary Hotel 1,442,141,78078,252,216,32902
2024-07-13,Imaginary Hotel 1,442,247,43631,252,28,216626
2024-07-12,Imaginary Hotel 1,442,228,71693,252,113,119905
2024-07-11,Imaginary Hotel 1,442,436,28342,252,28,93756
2024-07-10,Imaginary Hotel 1,442,244,73345,252,205,141546
2024-07-09,Imaginary Hotel 1,442,300,82358,252,195,162621
2024-07-08,Imaginary Hotel 1,442,245,18780,252,211,102393
2024-07-07,Imaginary Hotel 1,442,42,24741,252,177,24158
2024-07-06,Imaginary Hotel 1,442,353,70234,252,61,5119
2024-07-05,Imaginary Hotel 1,442,276,86939,252,88,113968
2024-07-04,Imaginary Hotel 1,442,368,45792,252,56,130690
2024-07-03,Imaginary Hotel 1,442,187,80651,252,137,170770
2024-07-02,Imaginary Hotel 1,442,410,44390,252,17,113022
2024-07-01,Imaginary Hotel 1,442,369,11249,252,143,184745
2024-06-30,Imaginary Hotel 1,442,207,56188,252,140,72033
2024-06-29,Imaginary Hotel 1,442,406,26891,252,116,145098
2024-06-28,Imaginary Hotel 1,442,86,23724,252,246,189006
2024-06-27,Imaginary Hotel 1,442,308,54231,252,27,199538
2024-06-26,Imaginary Hotel 1,442,212,90569,252,174,61065
2024-06-25,Imaginary Hotel 1,442,368,90405,252,81,151196
2024-06-24,Imaginary Hotel 1,442,288,6220,252,50,175355
2024-06-23,Imaginary Hotel 1,442,33,67875,252,130,18207
2024-06-22,Imaginary Hotel 1,442,304,61749,252,165,226375
2024-06-21,Imaginary Hotel 1,442,433,58368,252,74,143824
2024-06-20,Imaginary Hotel 1,442,375,84670,252,32,5305
2024-06-19,Imaginary Hotel 1,442,428,79528,252,143,84671
2024-06-18,Imaginary Hotel 1,442,156,87904,252,206,153001
2024-06-17,Imaginary Hotel 1,442,8,88738,252,71,219205
2024-06-16,Imaginary Hotel 1,442,302,7136,252,193,94730
2024-06-15,Imaginary Hotel 1,442,167,8994,252,212,154069
2024-06-14,Imaginary Hotel 1,442,333,81436,252,16,125581
2024-06-13,Imaginary Hotel 1,442,164,26588,252,49,236150
2024-06-12,Imaginary Hotel 1,442,37,96440,252,233,37653
2024-06-11,Imaginary Hotel 1,442,379,41159,252,181,117877
2024-06-10,Imaginary Hotel 1,442,203,58173,252,227,233261
2024-06-09,Imaginary Hotel 1,442,312,30152,252,191,217447
2024-06-08,Imaginary Hotel 1,442,191,82546,252,91,107124
2024-06-07,Imaginary Hotel 1,442,144,71962,252,244,20805
2024-06-06,Imaginary Hotel 1,442,310,83412,252,235,162851
2024-06-05,Imaginary Hotel 1,442,95,98233,252,201,8206
2024-06-04,Imaginary Hotel 1,442,123,68448,252,76,209788
2024-06-03,Imaginary Hotel 1,442,86,54889,252,133,101952
2024-06-02,Imaginary Hotel 1,442,157,36112,252,106,109388
2024-06-01,Imaginary Hotel 1,442,48,49722,252,52,48336
2024-05-31,Imaginary Hotel 1,442,284,75792,252,76,7968
2024-05-30,Imaginary Hotel 1,442,404,34390,252,11,39535
2024-05-29,Imaginary Hotel 1,442,418,52139,252,108,225926
2024-05-28,Imaginary Hotel 1,442,27,80291,252,146,154335
2024-05-27,Imaginary Hotel 1,442,112,81437,252,201,59138
2024-05-26,Imaginary Hotel 1,442,291,9742,252,214,86641
2024-05-25,Imaginary Hotel 1,442,381,79800,252,132,224434
2024-05-24,Imaginary Hotel 1,442,37,6061,252,164,49735
2024-05-23,Imaginary Hotel 1,442,215,24228,252,207,118630
2024-05-22,Imaginary Hotel 1,442,98,6714,252,147,32064
2024-05-21,Imaginary Hotel 1,442,291,22272,252,52,192964
2024-05-20,Imaginary Hotel 1,442,292,31802,252,234,171859
2024-05-19,Imaginary Hotel 1,442,224,40648,252,100,98324
2024-05-18,Imaginary Hotel 1,442,411,36985,252,185,24457
2024-05-17,Imaginary Hotel 1,442,303,14884,252,252,144585
2024-05-16,Imaginary Hotel 1,442,8,69131,252,167,135796
2024-05-15,Imaginary Hotel 1,442,200,59131,252,220,87093
2024-05-14,Imaginary Hotel 1,442,103,12836,252,225,232855
2024-05-13,Imaginary Hotel 1,442,173,64366,252,4,100583
2024-05-12,Imaginary Hotel 1,442,434,53454,252,157,166001
2024-05-11,Imaginary Hotel 1,442,294,96570,252,241,57445
2024-05-10,Imaginary Hotel 1,442,97,5452,252,239,249307
2024-05-09,Imaginary Hotel 1,442,267,87096,252,204,235258
2024-05-08,Imaginary Hotel 1,442,414,32944,252,2,29723
2024-05-07,Imaginary Hotel 1,442,288,28196,252,47,124607
2024-05-06,Imaginary Hotel 1,442,391,85865,252,194,124541
2024-05-05,Imaginary Hotel 1,442,394,80101,252,84,120424
2024-05-04,Imaginary Hotel 1,442,427,31753,252,68,162546
2024-05-03,Imaginary Hotel 1,442,167,95635,252,242,51460
2024-05-02,Imaginary Hotel 1,442,24,50657,252,250,108917
2024-05-01,Imaginary Hotel 1,442,336,8796,252,129,77795
2024-04-30,Imaginary Hotel 1,442,354,43769,252,228,232879
2024-04-29,Imaginary Hotel 1,442,296,25284,252,168,164186
2024-04-28,Imaginary Hotel 1,442,25,72948,252,208,147228
2024-04-27,Imaginary Hotel 1,442,18,84240,252,235,111094
2024-04-26,Imaginary Hotel 1,442,289,69127,252,212,188154
2024-04-25,Imaginary Hotel 1,442,187,55334,252,9,70930
2024-04-24,Imaginary Hotel 1,442,440,16698,252,23,107028
2024-04-23,Imaginary Hotel 1,442,203,21460,252,130,47845
2024-04-22,Imaginary Hotel 1,442,166,66902,252,1,173386
2024-04-21,Imaginary Hotel 1,442,307,15156,252,104,79303
2024-04-20,Imaginary Hotel 1,442,326,44597,252,101,88166
2024-04-19,Imaginary Hotel 1,442,87,92083,252,207,177031
2024-04-18,Imaginary Hotel 1,442,395,29030,252,6,32556
2024-04-17,Imaginary Hotel 1,442,80,69977,252,9,35050
2024-04-16,Imaginary Hotel 1,442,60,97712,252,248,68561
2024-04-15,Imaginary Hotel 1,442,310,67293,252,15,136182
2024-04-14,Imaginary Hotel 1,442,404,43321,252,21,178296
2024-04-13,Imaginary Hotel 1,442,442,12179,252,25,59905
2024-04-12,Imaginary Hotel 1,442,176,67473,252,85,219398
2024-04-11,Imaginary Hotel 1,442,84,43552,252,138,50065
2024-04-10,Imaginary Hotel 1,442,15,11140,252,70,66851
2024-04-09,Imaginary Hotel 1,442,370,52171,252,120,48594
2024-04-08,Imaginary Hotel 1,442,274,13820,252,136,45964
2024-04-07,Imaginary Hotel 1,442,261,15247,252,145,25579
2024-04-06,Imaginary Hotel 1,442,412,51231,252,209,120753
2024-04-05,Imaginary Hotel 1,442,178,74086,252,137,239379
